LOCATIONS	Type	Area	Street	Position	SpeedZone_Radius	SpeedZone_Speed	Region	Dispatchmessage	Music
1	TRUCK	FLATBED	119.384f	-1076.920f, 1174.091f, 215.276f	4	0f	0f	0f	
2	POLICE	Model.Vehicle1	120.915f	2342.582f, 5228.750f, 59.463f	1	0f	0f	0f	
2	EMS	Model.Vehicle2	 127.667f	2318.881f, 5210.524f, 59.500f	2	0f	0f	0f	
2	CIV	HABANERO	108.796f	2314.432f, 5216.966f, 59.343f	3	0f	180f	0f	
2	TRUCK	FLATBED	292.429f	2325.760f, 5219.547f, 59.869f	4	0f	0f	0f	
3	POLICE	Model.Vehicle1	136.50f	-1295.90f, 5253.83f, 52.18f	1	0f	0f	0f	
3	EMS	Model.Vehicle2	109.360f	-1290.711f, 5262.526f, 51.700f	2	0f	0f	0f	
3	CIV	TAXI	 129.990f	-1298.578f, 5258.469f, 52.113f	3	0f	180f	0f	
3	TRUCK	FLATBED	145.937f	-1305.541f, 5246.211f, 53.581f	4	0f	0f	0f	
4	POLICE	Model.Vehicle1	232.389f	1207.343f, 1315.722f, 144.374f	1	0f	0f	0f	
4	EMS	Model.Vehicle2	76.179f	1217.441f, 1304.354f, 143.584f	2	0f	0f	0f	
4	AIRUNIT	Model.Vehicle3	47.795f	1220.011f, 1294.865f, 142.4f	3	0f	0f	0f	
4	CIV	ISSI2	239.403f	1199.866f, 1320.879f, 144.887f	4	0f	0f	0f	
4	CIV	JACKAL	24.509f	1232.801f, 1306.366f, 143.276f	5	0f	0f	0f	
4	CIV	TRIBIKE3	195.253f	1214.313f, 1310.214f, 143.698f	6	0f	0f	0f	
5	POLICE	Model.Vehicle1	158.662f	-234.211f, 3892.026f, 37.085f	1	0f	0f	0f	
5	EMS	Model.Vehicle2	359.814f	-233.593f, 3883.720f, 37.230f	2	0f	0f	0f	
5	AIRUNIT	Model.Vehicle3	311.359f	-252.012f, 3878.350f, 40.253f	3	10f	0f	0f	
5	CIV	RANCHERXL	309.132f	-218.913f, 3886.984f, 37.144f	4	0f	0f	0f	
5	CIV	RHAPSODY	176.705f	-232.742f, 3910.579f, 37.260f	5	0f	0f	0f	
5	CIV	SANCHEZ	177.015f	-235.064f, 3863.109f, 34.354f	6	0f	0f	0f	
6	POLICE	Model.Vehicle1	191.002f	-1302.890f, 4614.000f, 118.588f	1	0f	0f	0f	
6	EMS	Model.Vehicle2	264.445f	-1276.187f, 4610.320f, 123.799f	2	0f	0f	0f	
6	AIRUNIT	Model.Vehicle3	351.910f	-1292.021f, 4609.761f, 120.000f	3	-5f	-7f	0f	
6	TRUCK	BULLDOZER	293.354f	-1251.239f, 4608.118f, 130.681f	4	0f	0f	0f	
6	TRUCK	TIPTRUCK	234.813f	-1267.600f, 4604.927f, 126.168f	5	0f	0f	0f	
6	CIV	SCORCHER	359.133f	-1281.937f, 4610.486f, 122.751f	6	0f	0f	0f	
7	POLICE	Model.Vehicle1	49.237f	-2018.984f, 1927.090f, 185.982f	1	0f	0f	0f	
7	EMS	Model.Vehicle2	22.707f	-2011.968f, 1926.712f, 185.506f	2	0f	0f	0f	
7	FIRE	Model.Vehicle3	168.832f	-2046.508f, 1948.092f, 188.234f	3	0f	0f	0f	
7	CIV	WASHINGTON	318.817f	-2018.404f, 1953.719f, 173.204f	4	0f	0f	0f	
7	CIV	GRESLEY	68.160f	-2028.124f, 1927.155f, 186.449f	5	0f	0f	0f	
7	TRUCK	TOWTRUCK	128.701f	-2043.193f, 1935.710f, 186.804f	6	0f	0f	0f	
8	POLICE	Model.Vehicle1	218.565f	3007.410f, 3390.121f, 72.806f	1	0f	0f	0f	
8	EMS	Model.Vehicle2	240.045f	3028.339f, 3370.805f, 74.937f	2	0f	0f	0f	
8	FIRE	Model.Vehicle3	212.652f	3008.332f, 3374.985f, 74.032f	3	0f	0f	0f	
8	CIV	ASTEROPE	211.117f	3021.993f, 3370.316f, 74.306f	4	0f	0f	0f	
8	CIV	DILETTANTE2	55.813f	3011.717f, 3382.808f, 73.234f	5	0f	0f	0f	
8	TRUCK	TOWTRUCK2	27.221f	3017.760f, 3377.907f, 73.914f	6	0f	0f	0f	
9	POLICE	Model.Vehicle1	287.023f	-2076.445f, 4446.418f, 58.594f	1	0f	0f	0f	
9	EMS	Model.Vehicle2	306.518f	-2040.326f, 4466.304f, 57.097f	2	0f	0f	0f	
9	FIRE	Model.Vehicle3	253.030f	-2049.768f, 4447.828f, 56.847f	3	0f	0f	0f	
9	CIV	SCHAFTER2	296.298f	-2039.690f, 4461.199f, 56.648f	4	0f	0f	0f	
9	CIV	BALLER	115.739f	-2067.070f, 4463.200f, 58.488f	5	0f	0f	0f	
9	TRUCK	TOWTRUCK	111.629f	-2049.652f, 4456.173f, 57.628f	6	0f	0f	0f	
10	POLICE	Model.Vehicle1	343.210f	1915.990f, -1297.256f, 131.552f	1	0f	0f	0f	
10	POLICE	Model.Vehicle2	171.465f	1907.896f, -1227.316f, 119.798f	2	0f	0f	0f	
10	EMS	Model.Vehicle3	0.829f	1907.715f, -1245.740f, 123.509f	3	0f	0f	0f	
10	TRUCK	BENSON	158.134f	1917.884f, -1248.013f, 125.768f	4	0f	270f	0f	
10	CIV	PONY	24.509f	1897.318f, -1288.881f, 130.060f	5	0f	0f	0f	
10	FIRE	Model.Vehicle4	8.318f	1913.163f, -1267.820f, 128.163f	6	0f	0f	0f	
11	POLICE	Model.Vehicle1	108.490f	-953.869f, 2762.304f, 24.995f	1	0f	0f	0f	
11	POLICE	Model.Vehicle2	282.794f	-972.625f, 2745.046f, 25.142f	2	0f	0f	0f	
11	EMS	Model.Vehicle3	103.581f	-981.562f, 2758.325f, 25.060f	3	0f	0f	0f	
11	TRUCK	POUNDER	83.735f	-987.599f, 2763.984f, 26.440f	4	0f	90f	0f	
11	CIV	UTILLITRUCK3	264.371f	-960.006f, 2746.664f, 25.363f	5	0f	0f	0f	
11	FIRE	Model.Vehicle4	88.218f	-961.865f, 2763.821f, 25.514f	6	0f	0f	0f	
12	POLICE	Model.Vehicle1	269.599f	-839.594f, 5258.758f, 86.385f	1	0f	0f	0f	
12	POLICE	Model.Vehicle2	18.878f	-760.623f, 5261.601f, 91.410f	2	0f	0f	0f	
12	EMS	Model.Vehicle3	91.695f	-820.835f, 5265.771f, 87.111f	3	0f	0f	0f	
12	TRUCK	HAULER	88.861f	-838.739f, 5274.097f, 78.747f	4	0f	90f	0f	
12	CIV	TRAILERLOGS	39.782f	-831.430f, 5268.207f, 81.139f	5	0f	0f	0f	
12	FIRE	Model.Vehicle4	290.486f	-806.317f, 5262.846f, 88.413f	6	0f	0f	0f	
13	POLICE	Model.Vehicle1	286.309f	1786.665f, -850.312f, 73.176f	1	0f	0f	0f	
13	POLICE	Model.Vehicle2	303.249f	1813.979f, -846.053f, 74.272f	2	0f	0f	0f	
13	EMS	Model.Vehicle3	300.558f	1793.742f, -844.599f, 73.600f	3	0f	0f	0f	
13	EMS	Model.Vehicle3	304.019f	1826.977f, -822.001f, 76.295f	4	0f	0f	0f	
13	FIRE	Model.Vehicle5	306.283f	1807.452f, -836.713f, 74.994f	5	0f	0f	0f	
13	CIV	SERRANO	257.500f	1813.468f, -829.652f, 74.924f	6	0f	180f	0f	
13	CIV	INGOT	314.080f	1798.749f, -838.393f, 73.930f	7	0f	0f	0f	
13	CIV	BLISTA	309.813f	1820.828f, -840.307f, 75.166f	8	0f	0f	0f	
13	TRUCK	FLATBED	308.691f	1820.475f, -822.857f, 76.125f	9	0f	0f	0f	
13	TRUCK	TOWTRUCK	300.552f	1802.212f, -853.532f, 73.861f	10	0f	0f	0f	
14	POLICE	Model.Vehicle1	14.871f	2524.150f, 5498.210f, 44.194f	1	0f	0f	0f	
14	POLICE	Model.Vehicle2	209.364f	2493.192f, 5536.108f, 44.086f	2	0f	0f	0f	
14	EMS	Model.Vehicle3	16.062f	2518.510f, 5518.033f, 44.440f	3	0f	0f	0f	
14	AIRUNIT	Model.Vehicle4	219.358f	2502.169f, 5541.096f, 43.770f	4	0f	0f	0f	
14	FIRE	Model.Vehicle5	33.644f	2515.485f, 5504.484f, 44.676f	5	0f	0f	0f	
14	CIV	PRIMO	83.378f	2510.140f, 5522.511f, 44.204f	6	0f	180f	0f	
14	CIV	REGINA	27.298f	2513.537f, 5519.205f, 44.380f	7	0f	0f	0f	
14	CIV	FUGITIVE	198.934f	2499.869f, 5518.604f, 44.354f	8	0f	0f	0f	
14	TRUCK	FLATBED	220.434f	2499.467f, 5526.640f, 44.785f	9	0f	0f	0f	
14	TRUCK	TOWTRUCK	17.744f	2526.591f, 5531.026f, 44.640f	10	0f	0f	0f	
15	POLICE	Model.Vehicle1	65.423f	-472.314f, -505.942f, 24.958f	1	0f	0f	0f	
15	POLICE	Model.Vehicle2	87.681f	-497.433f, -501.307f, 25.139f	2	0f	0f	0f	
15	EMS	Model.Vehicle3	86.373f	-478.963f, -510.782f, 24.882f	3	0f	0f	0f	
15	EMS	Model.Vehicle3	72.725f	-500.902f, -506.146f, 25.026f	4	0f	0f	0f	
15	FIRE	Model.Vehicle5	80.495f	-485.336f, -503.996f, 25.394f	5	0f	0f	0f	
15	CIV	FACTION	95.981f	-494.282f, -511.936f, 24.595f	6	0f	180f	0f	
15	CIV	BALLER	157.271f	-485.993f, -510.918f, 24.631f	7	0f	0f	0f	
15	CIV	JACKAL	90.209f	-505.738f, -501.612f, 24.788f	8	0f	0f	0f	
15	TRUCK	FLATBED	88.162f	-505.849f, -511.388f, 25.237f	9	0f	0f	0f	
15	TRUCK	TOWTRUCK	51.786f	-492.222f, -506.642f, 25.244f	10	0f	0f	0f	
16	POLICE	Model.Vehicle1	98.642f	986.878f, 6497.579f, 20.353f	1	0f	0f	0f	
16	POLICE	Model.Vehicle2	86.302f	940.859f, 6494.330f, 20.462f	2	0f	0f	0f	
16	EMS	Model.Vehicle3	64.212f	944.642f, 6500.654f, 20.824f	3	0f	0f	0f	
16	AIRUNIT	Model.Vehicle4	232.257f	928.211f, 6503.833f, 20.258f	4	0f	0f	0f	
16	FIRE	Model.Vehicle5	51.898f	959.018f, 6510.366f, 21.125f	5	0f	0f	0f	
16	CIV	PRAIRIE	36.367f	944.332f, 6531.506f, 17.286f	6	0f	180f	0f	
16	CIV	YOUGA	75.851f	949.970f, 6505.972f, 20.605f	7	0f	0f	0f	
16	CIV	PENUMBRA	91.166f	931.336f, 6495.219f, 20.601f	8	0f	0f	0f	
16	TRUCK	FLATBED	81.392f	933.571f, 6524.186f, 19.318f	9	0f	0f	0f	
16	TRUCK	TOWTRUCK	85.651f	972.486f, 6495.400f, 20.970f	10	0f	0f	0f	
17	POLICE	Model.Vehicle1	103.529f	-1469.534f, -1484.073f, 1.645f	1	0f	0f	0f	
17	POLICE	Model.Vehicle2	149.921f	-1456.508f, -1493.975f, 1.625f	2	0f	0f	0f	
17	EMS	Model.Vehicle3	164.831f	-1475.311f, -1493.202f, 1.337f	3	0f	0f	0f	
17	EMS	Model.Vehicle4	5.663f	-1464.719f, -1489.411f, 1.559f	4	0f	0f	0f	
17	EMS	Model.Vehicle5	155.153f	-1461.632f, -1498.331f, 1.353f	5	0f	0f	0f	
18	POLICE	Model.Vehicle1	223.057f	1259.571f, -2720.845f, 1.765f	1	0f	0f	0f	
18	POLICE	Model.Vehicle2	214.492f	1279.570f, -2721.151f, 1.825f	2	0f	0f	0f	
18	EMS	Model.Vehicle3	195.861f	1270.882f, -2725.300f, 1.844f	3	0f	0f	0f	
18	EMS	Model.Vehicle4	196.313f	1264.145f, -2728.974f, 1.400f	4	0f	0f	0f	
18	EMS	Model.Vehicle5	143.615f	1276.552f, -2728.071f, 1.528f	5	0f	0f	0f	
19	POLICE	Model.Vehicle1	71.618f	201.245f, -47.310f, 68.225f	1	0f	0f	0f	
19	EMS	Model.Vehicle2	50.293f	192.137f, -41.139f, 68.238f	2	0f	0f	0f	
20	POLICE	Model.Vehicle1	64.414f	-1287.977f, -1134.500f, 5.794f	1	0f	0f	0f	
20	EMS	Model.Vehicle2	358.204f	-1295.550f, -1125.820f, 6.049f	2	0f	0f	0f	
21	POLICE	Model.Vehicle1	337.598f	-1624.427f, -434.905f, 38.932f	1	0f	0f	0f	
21	EMS	Model.Vehicle2	220.558f	-1621.928f, -447.045f, 38.601f	2	0f	0f	0f	
22	POLICE	Model.Vehicle1	353.453f	192.238f, -805.462f, 30.547f	1	0f	0f	0f	
22	EMS	Model.Vehicle2	340.074f	198.180f, -796.702f, 31.204f	2	0f	0f	0f	
23	POLICE	Model.Vehicle1	125.912f	1663.164f, 4828.806f, 41.614f	1	0f	0f	0f	
23	EMS	Model.Vehicle2	185.990f	1666.736f, 4817.709f, 41.686f	2	0f	0f	0f	
24	POLICE	Model.Vehicle1	356.389f	858.809f, 4326.983f, 50.942f	1	0f	0f	0f	
24	EMS	Model.Vehicle2	205.469f	855.992f, 4338.159f, 51.377f	2	0f	0f	0f	
25	POLICE	Model.Vehicle1	334.299f	596.711f, 2725.525f, 41.295f	1	0f	0f	0f	
25	EMS	Model.Vehicle2	76.221f	602.201f, 2732.125f, 41.751f	2	0f	0f	0f	
26	POLICE	Model.Vehicle1	185.920f	2501.489f, 4094.654f, 37.819f	1	0f	0f	0f	
26	EMS	Model.Vehicle2	258.531f	2498.874f, 4082.164f, 38.041f	2	0f	0f	0f	
27	POLICE	Model.Vehicle1	291.038f	-717.183f, 5776.953f, 17.335f	1	0f	0f	0f	
27	EMS	Model.Vehicle2	246.050f	-707.627f, 5780.820f, 17.066f	2	0f	0f	0f	
28	POLICE	Model.Vehicle1	85.662f	1695.542f, 6415.463f, 32.026f	1	0f	0f	0f	
28	EMS	Model.Vehicle2	7.288f	1686.275f, 6421.746f, 32.100f	2	0f	0f	0f	
29	POLICE	Model.Vehicle1	341.797f	-1524.389f, 4907.434f, 65.985f	1	0f	0f	0f	
29	EMS	Model.Vehicle2	144.985f	-1517.592f, 4920.370f, 66.350f	2	0f	0f	0f	
30	POLICE	Model.Vehicle1	312.544f	-98.823f, 6423.154f, 30.988f	1	0f	0f	0f	
30	EMS	Model.Vehicle2	274.477f	-81.841f, 6428.882f, 31.220f	2	0f	0f	0f	
31	CIV	WINDSOR2	291.573f	-1000.132f, 785.339f, 171.131f	1	0f	0f	0f	
31	CIV	JACKAL	206.850f	-998.377f, 792.699f, 171.598f	2	0f	0f	0f	
31	CIV	FELON2	35.148f	-995.638f, 788.295f, 171.835f	3	0f	0f	0f	
31	CIV	F620	220.886f	-991.897f, 783.610f, 172.315f	4	0f	0f	0f	
31	CIV	GRESLEY	224.036f	-987.817f, 779.246f, 173.338f	5	0f	0f	0f	
31	CIV	CAVALCADE	38.762f	-988.223f, 791.421f, 172.810f	6	0f	0f	0f	
31	CIV	NINEF2	41.683f	-984.905f, 787.070f, 172.973f	7	0f	0f	0f	
32	CIV	BUFFALO2	278.449f	-1944.181f, 384.616f, 96.027f	1	0f	0f	0f	
32	CIV	BODHI2	278.369f	-1950.282f, 384.080f, 95.233f	2	0f	0f	0f	
32	CIV	ALPHA	85.040f	-1956.279f, 383.580f, 94.091f	3	0f	0f	0f	
32	CIV	COMET2	277.910f	-1949.348f, 400.593f, 95.906f	4	0f	0f	0f	
32	CIV	CARBONIZZARE	276.591f	-1955.606f, 399.694f, 95.798f	5	0f	0f	0f	
32	CIV	JESTER	6.867f	-1958.000f, 393.515f, 95.169f	6	0f	0f	0f	
32	CIV	MAMBA	5.169f	-1959.660f, 406.132f, 96.374f	7	0f	0f	0f	
33	CIV	NIGHTSHADE	307.126f 	0.458f, 542.591f, 173.553f	1	0f	0f	0f	
33	CIV	BUFFALO2	237.035f 	16.414f, 549.334f, 175.924f	2	0f	0f	0f	
33	CIV	TAMPA	245.350f 	15.084f, 546.495f, 175.541f	3	0f	0f	0f	
33	CIV	VIRGO	122.161f 	10.931f, 550.032f, 175.535f	4	0f	0f	0f	
33	CIV	KHAMELION	80.773f 	11.170f, 544.563f, 175.087f	5	0f	0f	0f	
33	CIV	BANSHEE	300.822f 	15.868f, 553.347f, 176.390f	6	0f	0f	0f	
33	CIV	DUBSTA2	121.673f 	4.622f, 545.994f, 174.506f	7	0f	0f	0f	
34	CIV	SLAMVAN2	203.97f	912.66f, -484.59f, 58.67f	1	0f	0f	0f	
34	CIV	TORNADO6	25.44f	915.15f, -490.21f, 58.73f	2	0f	0f	0f	
34	CIV	DAEMON	205.08f	912.51f, -492.51f, 58.42f	3	0f	0f	0f	
34	CIV	INNOVATION	206.61f	911.43f, -492.90f, 58.40f	4	0f	0f	0f	
34	CIV	HEXER	203.47f	910.29f, -493.25f, 58.37f	5	0f	0f	0f	
34	CIV	SOVEREIGN	75.40f	910.86f, -479.36f, 58.49f	6	0f	0f	0f	
34	CIV	SANCTUS	205.57f	907.59f, -479.88f, 58.53f	7	0f	0f	0f	
34	CIV	ZOMBIEB	113.71f	909.73f, -489.99f, 58.45f	8	0f	0f	0f	
34	CIV	DEFILER	70.11f	909.67f, -477.18f, 58.53f	9	0f	0f	0f	
34	CIV	BAGGER	74.53f	910.14f, -478.19f, 58.50f	10	0f	0f	0f	
35	CIV	COMET2	231.618f 	-1893.725f, -565.024f, 11.346f	1	0f	0f	0f	
35	CIV	COQUETTE3	113.386f 	-1904.042f, -558.801f, 11.222f	2	0f	0f	0f	
35	CIV	ROCOTO	142.470f 	-1901.548f, -560.752f, 11.665f	3	0f	0f	0f	
35	CIV	SURANO	201.991f 	-1897.735f, -562.150f, 11.410f	4	0f	0f	0f	
35	CIV	SUPERD	229.922f 	-1891.122f, -563.038f, 11.239f	5	0f	0f	0f	
35	CIV	VACCA	233.298f 	-1896.131f, -559.021f, 11.247f	6	0f	0f	0f	
35	CIV	VOLTIC	220.988f 	-1899.927f, -555.999f, 11.323f	7	0f	0f	0f	
36	CIV	VERLIERER2	284.633f 	-3018.389f, 741.100f, 27.093f	1	0f	0f	0f	
36	CIV	KHAMELION	286.336f 	-3017.818f, 738.280f, 26.840f	2	0f	0f	0f	
36	CIV	CHEETAH	272.798f 	-3024.027f, 740.000f, 25.862f	3	0f	0f	0f	
36	CIV	T20	269.865f 	-3024.455f, 737.059f, 25.881f	4	0f	0f	0f	
36	CIV	ADDER	263.501f 	-3030.598f, 737.108f, 24.035f	5	0f	0f	0f	
36	CIV	OSIRIS	258.816f 	-3030.403f, 740.378f, 23.947f	6	0f	0f	0f	
36	CIV	ZENTORNO	230.975f 	-3035.830f, 740.402f, 22.258f	7	0f	0f	0f	
37	CIV	HOTKNIFE	217.850f 	-190.215f, 6389.914f, 31.179f	1	0f	0f	0f	
37	CIV	VOODOO	224.829f 	-193.624f, 6394.687f, 31.362f	2	0f	0f	0f	
37	CIV	GAUNTLET2	226.167f 	-195.581f, 6392.640f, 31.445f	3	0f	0f	0f	
37	CIV	BUCCANEER2	214.131f 	-199.891f, 6397.063f, 31.049f	4	0f	0f	0f	
37	CIV	DOMINATOR2	225.075f 	-198.753f, 6400.061f, 31.152f	5	0f	0f	0f	
37	CIV	BRAWLER	218.096f 	-203.639f, 6404.204f, 31.713f	6	0f	0f	0f	
37	CIV	SANDKING2	205.913f 	-207.967f, 6410.284f, 31.378f	7	0f	0f	0f	
									
DIALOGS	ContactId	Counter	Text						
1	1	0	Hey Partner. What happened here?						
1	1	1	Hey Officer, thanks for responding. Guy flipped his car. He said that another driver drifted around the corner, hit his vehicle, and ended up flipping.						
1	1	2	Ouch.Do you have any information on a possible suspect or suspects vehicle ?						
1	1	3	I can't tell you. I had to get EMS and the tow service here. Try talking to the ~y~Victim~w~ over by my vehicle. He could probably tell you what you need to know.						
1	1	4	Okay. Thanks for the information.						
1	1	5	That is all I can tell you.						
1	2	0	"Hey bud. I'm from the "" + GameHandler._dialog_dept.Remove(1, 7) + "".Are you okay ?"						
1	2	1	Yes officer. Luckily I didn't get hurt! That fucking drifter...						
1	2	2	Okay. Can you tell me what happened? Do you know what type of vehicle it was?						
1	2	3	~w~ drifted around the corner and was in the middle of the road. As I was coming around, he hit me, made my vehicle flip, and sped off.						
1	2	4	Did you see the ~y~						
1	2	5	You bet I did! It was ~y~						
1	2	6	Thanks for you help. It is extremely useful in this investigation.						
1	2	7	Its a good thing that I remembered the plate! Get this son of a bitch...						
1	2	8	Sorry, but that's all I can tell you.						
2	1	0	Hey. You requested backup. How can I help?						
2	1	1	"Hi "" + Globals.CharacterName + "", this crash seems to be a Hit and Run. There are tire skids in the middle of the road."						
2	1	2	So another vehicle caused the crash?						
2	1	3	According to the victim, it seems so. Best is that you ask him yourself. He probably can give you more information.						
2	1	4	OK. I will talk to him.						
2	1	5	That is all I can tell you						
2	2	0	"Hi, I'm "" + Globals.CharacterName + "" from the "" + GameHandler._dialog_dept.Remove(1, 7) + "". Is everything fine?"						
2	2	1	Hello officer. Yes I'm fine but pretty pissed.						
2	2	2	I can imagine that. Can you tell me what happened?						
2	2	3	~w~ drifted around the corner and was in the middle of the road when I was coming around. I took a hit and lost control of my car and crashed.						
2	2	4	Did you see the ~y~						
2	2	5	Luckily, I did. It was ~y~						
2	2	6	Perfect. Thanks. With your help we can easily identify this person.						
2	2	7	I deserve justice for that. Hope this guy goes to prison						
2	2	8	Sorry, but that's all I can tell you.						
3	1	0	Hi. What happened to the taxi driver?						
3	1	1	Hey, nice to see you. Well, the guy does not really want to talk to the police. So I don't have much.						
3	1	2	Hm. Does he has an active warrant? Tell me what you have						
3	1	3	I already checked that, he is clean. Seems to be a Hit and Run. But try talking to him yourself. It was really hard get something out of him.						
3	1	4	Okay. Thanks for the information.						
3	1	5	That is all I can tell you.						
3	2	0	"Hello Sir, I'm from the "" + GameHandler._dialog_dept.Remove(1, 7) + "". Is everything okay"						
3	2	1	Hey, yes I'm fine.						
3	2	2	Sir, is it possible for you to describe what happened?						
3	2	3	~w~ hit me. 						
3	2	4	Did you see the ~y~						
3	2	5	I shouldn't tell you... I hate cops... they suck. But... it was ~y~						
3	2	6	Thank you. Why do you hate the police						
3	2	7	That is none of your business. Get this asshole and leave me alone.						
3	2	8	Leave me alone.						
4	1	0	Hey Officer. What happened here?						
4	1	1	Hello Officer. Thanks for responding. The only thing I know is that we have a hit and run between a motorist and a bicyclist.						
4	1	2	Okay. Do you have any information on a possible vehicle or suspect?						
4	1	3	No, I was focussing on getting Paramedics here and trying to save the victim. Can you try talking to the ~y~witnesses~w~ and I'll control the scene?						
4	1	4	Sure.						
4	1	5	That is all I have for you!						
4	2	0	Hello sir, are you okay?						
4	2	1	Hello Officer. Yes, I'm fine. That poor guy, I hope he's okay!						
4	2	2	Did you see how this accident happened?						
4	2	3	No, unfortunately. I was the second person to arrive. The woman over there was the first person on scene.						
4	2	4	Okay, thanks for your help.						
4	2	5	Glad to help, officer.						
4	2	6	Sorry, but I don't know anything else.						
4	3	0	Hello. Are you the one who called 911?						
4	3	1	Yes officer. I saw the accident and decided to pull over and call for an ambulance!						
4	3	2	Can you tell me what happened?						
4	3	3	~w~ went speeding around this turn and hit the cyclist, and didn't even stop! They kept on going!						
4	3	4	PLACEHOLDER						
4	3	5	PLACEHOLDER						
4	3	6	Thanks for your information. Your help is extremely useful in this investigation.						
4	3	7	No problem! Glad to help the police any day of the week.						
4	3	8	Sorry, but that's all I can tell you.						
5	1	0	Hey Partner. What happened here?						
5	1	1	Hi. Thanks for responding. Seems to be a Hit and Run.						
5	1	2	Okay. Do you have any information on a possible vehicle or suspect?						
5	1	3	I can't tell you. Paramedics were already performing CPR when we arrived. Talk to this person here. Maybe he knows more						
5	1	4	Thanks, I will so.						
5	1	5	That is all I have for you!						
5	2	0	Hello sir, are you okay?						
5	2	1	Hello Officer. Yes, I'm fine. Is the biker okay?						
5	2	2	I don't have any information about his condition. Did you see how this accident happened?						
5	2	3	Yes, that's the reason why I had to pull into the grass. A car overtook me on the bridge.						
5	2	4	Do you have a description on a license plate number of the car?						
5	2	5	Sorry, everything went so fast, I can't remember either the car or a plate.						
5	2	6	Try talking to the woman. She stopped and called for the EMS, maybe she knows more.						
5	3	0	Hello. Are you the one who called 911?						
5	3	1	Yes officer. I saw the accident and decided to pull over and call for an ambulance!						
5	3	2	Can you tell me what happened?						
5	3	3	~w~ overtook the car on the bridge! The biker had to swerve to avoid hitting this idiot and went off.						
5	3	4	PLACEHOLDER						
5	3	5	PLACEHOLDER						
5	3	6	Thanks for your information. Your help is extremely useful in this investigation.						
5	3	7	No problem! Glad to help the police any day of the week.						
5	3	8	Sorry, but that's all I can tell you.						
6	1	0	Hello Ranger, you called for backup. How can I help						
6	1	1	Hi. Thanks for responding up here. The construction workers called 911 when they found this driver on the road.						
6	1	2	Okay. Cars aren't supposed to be on this road, so do we know what caused it?						
6	1	3	According to them, a car did cause it. Ask for yourself.						
6	1	4	Up here? What the hell is a car doing up here? I will talk to the workers, see if they can tell me anything else about it.						
6	1	5	That is all I have for you!						
6	2	0	"Hello Guys. My name is "" + Globals.CharacterName + "" from the "" + GameHandler._dialog_dept.Remove(1, 7) + "". Please describe what happened."						
6	2	1	Hi Officer. Will the biker be okay?. It looks bad for him, doesn't it?						
6	2	2	Paramedics try to stabilize him. We need to see. Please focus on the accident. What happened?						
6	2	3	Ah yes sorry. We are performing roadwork here, 'cause the rain washed away parts of this trail. We found him unconscious. 						
6	2	4	Do you know anything that could cause his crash?						
6	2	5	There is one guy who is frequently up here with his car off-roading. But I can't tell you anything about the car.						
6	2	6	Try talking to my buddy here. He might know something I don't.						
6	3	0	Hello. Your buddy said you might know something about a possible vehicle?						
6	3	1	Yes officer. I didn't see the accident, but when I came up here with my truck, a car was going down.						
6	3	2	Can you tell me something about the driver? Car?						
6	3	3	~w~ came rushing down the hill. It looked like he was fleeing from something. Then we found the victim.						
6	3	4	PLACEHOLDER						
6	3	5	PLACEHOLDER						
6	3	6	Thanks for your information. Your help is extremely useful in this investigation.						
6	3	7	No problem! Glad that we were up here. Hope the guy makes it.						
6	3	8	Sorry, but that's all I can tell you.						
7	1	0	Hello Officer, did you request backup?						
7	1	1	Yes, I did. We have a hit and run. Until now, the victim was in shock, and I haven't been able to talk to him. Can you attempt to speak to the victim while I assist the paramedics?						
7	1	2	Yeah, no problem. Hopefully he can tell us something.						
7	1	3	Will do. Good luck, officer!						
7	1	4	That is all I have for you!						
7	2	0	Hello Sir, I'm a police officer. Can you tell me anything you remember about the accident? Car, person driving, anything?						
7	2	1	Uuhh, I don't feel good... I think that... oh... I can't tell you anything…						
7	2	2	He appears to be suffering from a pretty serious concussion.						
7	2	3	Huh, he could be suffering from short term memory loss. Sir, are you sure you can't remember anything? Just the slightest thing can help.						
7	2	4	I think.. I think I'm gunna pass out..						
7	2	5	Officer, he just blacked out. The lady over there made the 911 call. Try talking to her!						
7	2	6	That is all I have for you.						
7	3	0	"Hello Ma'am. I'm from the "" + GameHandler._dialog_dept.Remove(1, 7) + "".Did you see what happened here?"						
7	3	1	Hi Officer. Yes, I did. A car cut the corner at a high rate of speed and hit the poor man. Is he going to be okay?						
7	3	2	He should be. Do you have a description of the vehicle or the driver?						
7	3	3	. Dang, that person must be desperate…						
7	3	4	Did you see the license plate of the 						
7	3	5	I believe so. I think it was 						
7	3	6	Thanks for your help. Your information is extremely useful in this investigation.						
7	3	7	Glad to help!						
8	1	0	Hey Partner, did you request backup? How can I help?						
8	1	1	Hi bud, thanks for the fast response. We have a hit and run. I haven't been able to talk to the victim. Can you attempt to speak to her while I secure the scene?						
8	1	2	Yeah, sure. Hopefully she remembers something.						
8	1	3	I don't think so, she seems to be pretty messed up after the crash.						
8	1	4	That is all I can tell you!						
8	2	0	Hi Ma'am, I'm a police officer. Do you remember anything about the accident? A car, person driving, anything?						
8	2	1	Ehmm.. sorry officer.. I ... I don't know.. where am I?						
8	2	2	She is suffering from a pretty serious concussion caused by an airbag failing to open.						
